seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,table_under_pick,47,qpFixed,1,1,0.0493949,4349,31,10.7959,723,723,0,0.00479995,0.00249477,0,0,0.0114945,0,16,15,1.9375,0,0,0,1,0,0,4347,1192658,3784,0,3784
1,table_under_pick,47,qpPlain,1,1,0.0508278,4349,31,10.7959,723,723,0,0.00479995,0.00249477,0,0,0.0114945,0,16,15,1.9375,0,0,0,1,0,0,4347,1486674,4347,0,3784
1,table_under_pick,47,qpAdaptive,1,1,0.0275424,2655,31,10.7898,686,686,0,0.00479635,0.00249477,0,0,0.0188297,0.394727,16,15,1.9375,0,0,0,0.60196,0.389747,0.0082925,2653,734517,2560,0,2560
1,table_under_pick,47,qpFreeGate,1,1,0.0369284,5708,51,17.0018,1237,1237,0,0.00797084,0.00249477,0,0,0.0132833,0,336,46,0.151786,0,0,0,1,0,0,5708,1722493,0,364,0
1,table_under_pick,47,qpFreeEnvelope,1,1,0.00553352,479,43,21.8977,1125,1125,0,0.00797084,0.00249477,0,0,0.122395,0.290188,317,37,0.135647,0,0,0,0,0.877698,0.122302,479,145621,0,340,0
1,table_under_pick,47,qpEnvelope,1,1,0.0159931,1393,31,12.421,681,681,0,0.00487091,0.00249477,0,0,0.0355439,0.329505,16,15,1.9375,0,0,0,0.665708,0.312006,0.0222861,1391,384307,1359,0,1359
1,table_under_pick,47,VAMP,1,1,0.00012367,4682,15,16.3999,10,821,0,0.000414642,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,72,isSafe,1,1,0.00571073,1502,10,12.7411,8,639,0,0.00312138,0.0023639,0,0,0,0,12,4,0.833333,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,72,qpFixed,1,1,0.00841237,757,8,10.545,758,758,0,0.00743981,8.85589e-05,0,0,0.0139299,0,1,1,8,0,0,0,1,0,0,757,218397,488,0,488
1,table_under_pick,72,qpPlain,1,1,0.00839619,757,8,10.545,758,758,0,0.00743981,8.85589e-05,0,0,0.0139299,0,1,1,8,0,0,0,1,0,0,757,258894,757,0,488
1,table_under_pick,72,qpAdaptive,1,1,0.00355929,341,8,10.5527,650,650,0,0.00743823,8.56693e-05,0,0,0.0309463,0.331378,1,1,8,0,0,0,0.668622,0.319648,0.0117302,341,99946,284,0,284
1,table_under_pick,72,qpFreeGate,1,1,0.00904683,1413,13,13.8375,967,967,0,0.00788322,0.00249477,0,0,0.0139333,0,40,8,0.325,0,0,0,1,0,0,1413,416585,0,42,0
1,table_under_pick,72,qpFreeEnvelope,1,1,0.00136982,93,15,14.5373,747,747,0,0.00788322,0.00249477,0,0,0.232583,0.526882,40,10,0.375,0,0,0,0,0.836735,0.163265,93,27734,0,44,0
1,table_under_pick,72,qpEnvelope,1,1,0.000606088,49,8,10.6431,558,558,0,0.00743798,0.000931431,0,0,0.217206,0.836735,1,1,8,0,0,0,0.163265,0.714286,0.122449,49,14183,38,0,38
1,table_under_pick,72,VAMP,1,1,4.7271e-05,817,9,13.8972,8,696,0,0.00312138,0.000140402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
